availability,size,total_sqft,bath,balcony,price
19-Dec,2 BHK,1056.0,2.0,1.0,39.07
Ready To Move,4 Bedroom,2600.0,4.5,3.0,120.0
Ready To Move,3 BHK,1440.0,2.0,3.0,62.0
Ready To Move,3 BHK,1521.0,3.0,1.0,95.0
Ready To Move,2 BHK,1200.0,2.0,1.0,51.0
Ready To Move,2 BHK,1170.0,2.0,1.0,38.0
18-May,4 BHK,2606.0,4.0,2.0,204.0
Ready To Move,4 BHK,2606.0,4.0,2.0,236.3825
Ready To Move,3 BHK,1310.0,3.0,1.0,63.25
Ready To Move,6 Bedroom,1020.0,4.5,2.0,236.3825
18-Feb,3 BHK,1800.0,2.0,2.0,70.0
Ready To Move,4 Bedroom,2606.0,4.5,3.0,236.3825
Ready To Move,2 BHK,1000.0,2.0,1.0,38.0
Ready To Move,2 BHK,1100.0,2.0,2.0,40.0
Ready To Move,3 Bedroom,2250.0,3.0,2.0,148.0
Ready To Move,2 BHK,1175.0,2.0,2.0,73.5
Ready To Move,3 BHK,1180.0,3.0,2.0,48.0
Ready To Move,3 BHK,1540.0,3.0,3.0,60.0
Ready To Move,3 BHK,2606.0,4.0,2.0,236.3825
Ready To Move,2 BHK,1100.0,2.0,2.0,48.0
Ready To Move,1 BHK,600.0,1.0,1.0,15.0
19-Dec,3 BHK,1755.0,3.0,1.0,122.0
Ready To Move,4 Bedroom,2606.0,4.5,2.0,236.3825
Ready To Move,3 BHK,1767.0,3.0,1.0,103.0
18-Nov,1 RK,510.0,1.0,0.0,25.25
18-May,3 BHK,1250.0,3.0,2.0,56.0
Ready To Move,2 BHK,660.0,1.0,1.0,23.1
20-Dec,3 BHK,1610.0,3.0,2.0,81.0
17-Oct,2 BHK,1151.0,2.0,2.0,48.77
Ready To Move,3 BHK,1025.0,2.0,1.0,47.0
19-Dec,4 BHK,,4.0,0.0,186.0
Ready To Move,3 BHK,1075.0,2.0,1.0,35.0
Ready To Move,3 BHK,1760.0,2.0,2.0,123.0
Ready To Move,3 BHK,1693.0,3.0,3.0,57.39
Ready To Move,3 BHK,1925.0,3.0,2.0,125.0
21-Dec,2 BHK,700.0,2.0,1.0,36.0
Ready To Move,2 BHK,1070.0,2.0,1.0,45.5
Ready To Move,3 BHK,1724.0,3.0,2.0,125.0
Ready To Move,3 BHK,1290.0,2.0,2.0,56.12
Ready To Move,2 BHK,1143.0,2.0,2.0,45.0
Ready To Move,2 BHK,1296.0,2.0,2.0,81.0
19-Dec,3 BHK,1254.0,3.0,2.0,38.0
Ready To Move,1 BHK,600.0,1.0,0.0,38.0
Ready To Move,1 Bedroom,660.0,1.0,0.0,48.0
19-Sep,2 BHK,1330.74,2.0,2.0,91.79
Ready To Move,8 Bedroom,600.0,4.5,2.0,200.0
Ready To Move,2 BHK,970.0,2.0,0.0,33.0
